,Tipo_Comida,Calificacion_Comentario,Comentario,Comentario corregido
24,"Internacional, Mediterránea, Europea",positive,"No puedo decir suficientes cosas buenas acerca de este restaurante. La comida se sirve fresco, así que está siempre a la temperatura deseada. He comido allí varias veces durante mi estancia en Costa Rica, y tiene Benin maravilloso cada vez. Además de la buena comida, los camareros hacen lo imposible para asegurar su satisfacción. Sin duda uno de los mejores restaurantes que he comido.","No puedo decir suficientes cosas buenas acerca de este restaurante. La comida se sirve fresco, así que está siempre a la temperatura deseada. He comido allí varias veces durante mi estancia en Costa Rica, y tiene Benin maravilloso cada vez. Además de la buena comida, los camareros hacen lo imposible para asegurar su satisfacción. Sin duda uno de los mejores restaurantes que he comido."
25,"Italiana, Pizzería",positive,"Exelente comida, la pizza muy auténtica,  buen servicio trato amable  el tiramisu lo maximo en tamaño y calidad","Exelente comida, la pizza muy auténtica,  buen servicio trato amable  el tiramisu lo maximo en tamaño y calidad"
26,"Mediterránea, Española, Bar de vinos, Catalana",positive,"Estuve viviendo en España por un año y la comida de este lugar es como un pedacito de Barcelona. Es un lugar pequeño pero que ofrece un ambiente acogedor. La atención fue excelente. Antes de ir, leí comentarios de gente en TripAdvisor que había ido que criticaron el tamaño de la comida... claramente no entienden el concepto español de ir de tapas. La cantidad de cada tapa estaba magnífica . Para empezar recomiendo las albóndigas con una copita de vino. ","Estuve viviendo en España por un año y la comida de este lugar es como un pedacito de Barcelona. Es un lugar pequeño pero que ofrece un ambiente acogedor. La atención fue excelente. Antes de ir, leí comentarios de gente en TripAdvisor que había ido que criticaron el tamaño de la comida... claramente no entienden el concepto español de ir de tapas. La cantidad de cada tapa estaba magnífica . Para empezar recomiendo las albóndigas con una copita de vino. "
27,De la India,positive,"El lugar pequeño pero bien decorado, ambiente agradable. La comida es muy sabrosa, sabores accesibles y nuevos para quien no conoce de la gastronomía. Quizás les falta un poco de guía para las personas que no conocen del menú y en general la gastronomía de la India. El servicio estuvo muy bien, los precios accesibles/normales. El punto alto del lugar es que cuentan con un menú inmensamente variado para todos los gustos. ","El lugar pequeño pero bien decorado, ambiente agradable. La comida es muy sabrosa, sabores accesibles y nuevos para quien no conoce de la gastronomía. Quizás les falta un poco de guía para las personas que no conocen del menú y en general la gastronomía de la India. El servicio estuvo muy bien, los precios accesibles/normales. El punto alto del lugar es que cuentan con un menú inmensamente variado para todos los gustos. "
28,"Estadounidense, Europea, Británica, Australiana, Costarricense, Bar, Comida rápida",positive,Delicioso el sabor de la comida. Muy buen servicio de atención. Deliciosas salsas. Completamente recomendado.,Delicioso el sabor de la comida. Muy buen servicio de atención. Deliciosas salsas. Completamente recomendado.
29,"Italiana, Bar, Internacional, Pub, Napolitana, De Campania, Toscana, De Lombardía, Del norte italiano, Del centro italiano, Del sur italiano",positive,El lugar es una edificación costarricense del siglo pasado. Es un excelente lugar para comer en familia. Sus precios son altos pero vale la pena visitarlo. Lo recomiendo altamente.,El lugar es una edificación costarricense del siglo pasado. Es un excelente lugar para comer en familia. Sus precios son altos pero vale la pena visitarlo. Lo recomiendo altamente.
30,"Estadounidense, Europea, Británica, Australiana, Costarricense, Bar, Comida rápida",positive,Jared nos brindó un excelente servicio la comida súper delicioso estuvo excelente mi visita con mi novio,Jared nos brindó un excelente servicio la comida súper delicioso estuvo excelente mi visita con mi novio
31,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,"De visita en Costa Rica - Pura Vida, hoy en el City Tour nos llevaron para almorzar. Rica comida, excelente servicio de Anthony. Gracias por la recomendación del mojito de cas 😋","De visita en Costa Rica - Pura Vida, hoy en el City Tour nos llevaron para almorzar. Rica comida, excelente servicio de Anthony. Gracias por la recomendación del mojito de cas 😋"
32,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,"Menú amplio, comida típica y diferente, agradable, comida rica, música en vivo, buena infraestructura con adornos típicos","Menú amplio, comida típica y diferente, agradable, comida rica, música en vivo, buena infraestructura con adornos típicos"
33,"Latina, Mariscos, Centroamericana, Costarricense",positive,"los precios moderados, buen ambiente y cerca de nuestro hotel! Excelentes platos y postres de comida de mar. 4 de nosotros fuimos y todos disfrutaron de sus comidas.","los precios moderados, buen ambiente y cerca de nuestro hotel! Excelentes platos y postres de comida de mar. 4 de nosotros fuimos y todos disfrutaron de sus comidas."
34,"Cervecería, Pizzería, Gastropub, Centroamericana",positive,"Queríamos comer algo rápido y no muy cargado y la hamburguesa caprese fue un excelente elección. El pan riquísimo, pocas salsas y la carne con poca grasa y bien cocinada; no es tan común comer una hamburguesa tan equilibrada. Cervezas muy buenas, trato amable y precios honestos.","Queríamos comer algo rápido y no muy cargado y la hamburguesa caprese fue un excelente elección. El pan riquísimo, pocas salsas y la carne con poca grasa y bien cocinada; no es tan común comer una hamburguesa tan equilibrada. Cervezas muy buenas, trato amable y precios honestos."
35,"Churrasquería, Mariscos",positive,Comida deliciosa con un gran detalle para mi esposa en su cumpleaños. Servicio de Juan Carlos impecable excelente,Comida deliciosa con un gran detalle para mi esposa en su cumpleaños. Servicio de Juan Carlos impecable excelente
36,"China, Asiática",positive,Preguntamos a alguien en la calle donde comer y dijo LaFlor de Loto era la mejor comida china que había tenido y estamos totalmente de acuerdo. Porciones enormes y todo era tan fresco y sabroso.,Preguntamos a alguien en la calle donde comer y dijo LaFlor de Loto era la mejor comida china que había tenido y estamos totalmente de acuerdo. Porciones enormes y todo era tan fresco y sabroso.
37,"Mediterránea, Española, Bar de vinos, Catalana",positive,"Nos alojamos en el estudio y, después de algunas comidas bastante mediocre en este área, estábamos muy contentos de haber encontrado este restaurante justo al lado.Excelente ambiente y servicio y la comida era estupenda. Setas, langostinos, paella y lomo grande de carne eran tan bueno. Pregunta por el aioli con la carne!","Nos alojamos en el estudio y, después de algunas comidas bastante mediocre en este área, estábamos muy contentos de haber encontrado este restaurante justo al lado.Excelente ambiente y servicio y la comida era estupenda. Setas, langostinos, paella y lomo grande de carne eran tan bueno. Pregunta por el aioli con la carne!"
38,Mexicana,positive,"La comida es excelente, los sabores son muy buenos, no es muy barato pero tampoco es muy caro, el ambiente es muy bonito y comodo.","La comida es excelente, los sabores son muy buenos, no es muy barato pero tampoco es muy caro, el ambiente es muy bonito y comodo."
39,"Mediterránea, Del Medio Oriente",positive,El lugar es precioso era una antigua casa . Ambiente Mediterráneo y comida de esta zona ( libanesa arabe etc ) el cordero es espectacular y en general muy muy buena comida los precios no son económicos pero vale la pena,El lugar es precioso era una antigua casa . Ambiente Mediterráneo y comida de esta zona ( libanesa arabe etc ) el cordero es espectacular y en general muy muy buena comida los precios no son económicos pero vale la pena
40,"Latina, Mariscos, Centroamericana, Costarricense",,"Bien en cuanto al servicio, el lugar, amplísimo parqueo, limpieza, en fin, en cuanto a atención e instalaciones todo bien. El problema es que la comida no llena las expectativas. Me referiré a cuatro platos específicamente.Primero el ceviche de pescado, bien en principio; no obstante tenía un ligero gusto a que se había tratado de incluir ""consomé"" en polvo o algo similar, lo que le quitó toda la frescura al plato. Luego la superensalada, en efecto impresionante en tamaño y variedad, pero con las carnes preparadas con mucha grasa, es de suponer que un cliente que pide una ensalada como plato principal es precisamente porque no desea o no puede consumir alguna comida más fuerte, por lo que, incluir ingredientes tan grasosos es un total despropósito.El arroz con cerdo, igualmente algo grasoso, aunque mejor que la ensalada. pero insipidoPor último, el pulpo, otra vez caemos en el problema del exceso de grasa en la preparación.Al parecer este es el mayor defecto del restaurante, comida demasiado grasosa o no adecuadamente condimentada.Si quisieran podrían mejorar bastante en la preparación","Bien en cuanto al servicio, el lugar, amplísimo parqueo, limpieza, en fin, en cuanto a atención e instalaciones todo bien. El problema es que la comida no llena las expectativas. Me referiré a cuatro platos específicamente.Primero el ceviche de pescado, bien en principio; no obstante tenía un ligero gusto a que se había tratado de incluir ""consomé"" en polvo o algo similar, lo que le quitó toda la frescura al plato. Luego la superensalada, en efecto impresionante en tamaño y variedad, pero con las carnes preparadas con mucha grasa, es de suponer que un cliente que pide una ensalada como plato principal es precisamente porque no desea o no puede consumir alguna comida más fuerte, por lo que, incluir ingredientes tan grasosos es un total despropósito.El arroz con cerdo, igualmente algo grasoso, aunque mejor que la ensalada. pero insipidoPor último, el pulpo, otra vez caemos en el problema del exceso de grasa en la preparación.Al parecer este es el mayor defecto del restaurante, comida demasiado grasosa o no adecuadamente condimentada.Si quisieran podrían mejorar bastante en la preparación"
41,"Italiana, Napolitana",positive,Me gusta participar de las catas porque son muy amenas y se aprende de verdad. Alfredo siempre atento y el chef Doménico explicando siempre la historia y la receta de los platillos tradicionales italianos. Se consigue vinos excelentes a muy buenos precios!,Me gusta participar de las catas porque son muy amenas y se aprende de verdad. Alfredo siempre atento y el chef Doménico explicando siempre la historia y la receta de los platillos tradicionales italianos. Se consigue vinos excelentes a muy buenos precios!
42,"Latina, Centroamericana, Costarricense",positive,Este Mirador es uno de mis favoritos.La vista es exelente la comida muy buena. Cuenta tambien con un bar para aquellos que solo desean ir a tomar algo,Este Mirador es uno de mis favoritos.La vista es exelente la comida muy buena. Cuenta tambien con un bar para aquellos que solo desean ir a tomar algo
43,"Italiana, Pizzería",positive,"Fuimos almorzar en estas excelente Pizza y su dueño nos atención muy amablemente, tiene mucha variedad y excelente variada carta de vinos.","Fuimos almorzar en estas excelente Pizza y su dueño nos atención muy amablemente, tiene mucha variedad y excelente variada carta de vinos."
44,"Italiana, Mediterránea, Europea, Española, Pub, Fusión",positive,"Ademas del ambiente bohemio y al nivel de cualquier lugar en grandes ciudades, destaco el excelente servicio que incluso puedo decir que lo han mejorado con respecto a mis visitas previas.La comida no se queda atras, la calidad y variedad en platos mediterraneos e internacionales hacen de este lugar uno de mis preferidos.","Ademas del ambiente bohemio y al nivel de cualquier lugar en grandes ciudades, destaco el excelente servicio que incluso puedo decir que lo han mejorado con respecto a mis visitas previas.La comida no se queda atras, la calidad y variedad en platos mediterraneos e internacionales hacen de este lugar uno de mis preferidos."
45,"Estadounidense, Churrasquería",positive,"El restaurante está ubicado en un centro comercial, con ambiente seguro, hay suficiente espacio para estacionar el vehículo. El servicio en el restaurante es bueno, la preparación de los alimentos aceptable. El precio es elevado, con una relación de precio calidad que puede mejorar.","El restaurante está ubicado en un centro comercial, con ambiente seguro, hay suficiente espacio para estacionar el vehículo. El servicio en el restaurante es bueno, la preparación de los alimentos aceptable. El precio es elevado, con una relación de precio calidad que puede mejorar."
46,Internacional,positive,"Café Mundo tiene una atmósfera mistica, que lo hace una experiencia única cada vez que se visita, definitivamente nunca me defrauda, probamos uno de los especiales del día que era un Dip de Pejiballe, y realmente es de lo mas rico que he probado. El servicio realmente bueno a pesar de estar con una capacidad bastante alta, la comida en general con un nivel extraordinario, y para cerrar el famoso Bavarois de tres chocolates, que cada vez que lo pruebo me recuerda que definitivamente es mi postre favorito! Felicidades!!","Café Mundo tiene una atmósfera mistica, que lo hace una experiencia única cada vez que se visita, definitivamente nunca me defrauda, probamos uno de los especiales del día que era un Dip de Pejiballe, y realmente es de lo mas rico que he probado. El servicio realmente bueno a pesar de estar con una capacidad bastante alta, la comida en general con un nivel extraordinario, y para cerrar el famoso Bavarois de tres chocolates, que cada vez que lo pruebo me recuerda que definitivamente es mi postre favorito! Felicidades!!"
47,"Mediterránea, Costarricense",positive,"Lindo café con una interesante variedad de platos y esmero en la presentación de los mismos.El sitio es acogedor, con una decoración acorde a su arquitectura y la atención de sus empleados muy amena aunque no tanto cuando está muy lleno de gente.","Lindo café con una interesante variedad de platos y esmero en la presentación de los mismos.El sitio es acogedor, con una decoración acorde a su arquitectura y la atención de sus empleados muy amena aunque no tanto cuando está muy lleno de gente."
48,"Mexicana, Internacional",positive,"Lejos del terruño, nos supo a gloria!!!Los chiles en nogada de temporada muy buenos y la cochinita pibil muy buena también!!!","Lejos del terruño, nos supo a gloria!!!Los chiles en nogada de temporada muy buenos y la cochinita pibil muy buena también!!!"
49,"Pizzería, Pub, Estadounidense",positive,"Recomendadisima las hamburguesas, un lugar bastante bonito de facil acceso, cuenta con parqueo, precios comodos, ideal para ir con los amigos","Recomendadisima las hamburguesas, un lugar bastante bonito de facil acceso, cuenta con parqueo, precios comodos, ideal para ir con los amigos"
50,"Café, Latina, Española, Saludable, Sudamericana, Centroamericana, Costarricense",positive,"Lugar tranquilo, buen ambiente, excelente comida y ni que decir del café, cuenta con baristas calificados para servir el café que uno guste.","Lugar tranquilo, buen ambiente, excelente comida y ni que decir del café, cuenta con baristas calificados para servir el café que uno guste."
51,"Internacional, Mediterránea, Europea",positive,Un pequeño hotel boutique hotel restaurante contiguo. excelente servicio y la comida es genial. En un pujante barrio. Lo recomiendo para el almuerzo o la cena.,Un pequeño hotel boutique hotel restaurante contiguo. excelente servicio y la comida es genial. En un pujante barrio. Lo recomiendo para el almuerzo o la cena.
52,De la India,positive,"Pequeño lugar con gran ambiente y servicio, auténtico sabor indio y increíble relación calidad-precio","Pequeño lugar con gran ambiente y servicio, auténtico sabor indio y increíble relación calidad-precio"
53,"Estadounidense, Europea, Británica, Australiana, Costarricense, Bar, Comida rápida",positive,"Las mejores Hamburguesas de Jacó , mejores ingredientes y excelente ubicación en el centro recomendado","Las mejores Hamburguesas de Jacó , mejores ingredientes y excelente ubicación en el centro recomendado"
54,"Latina, Mariscos, Centroamericana, Costarricense, Fusión",positive,"Excelente lugar.  Buena atención la comida muy buena, y las margaritas geniales, a pesar  de que esa tarde noche la lluvia fue demasiado y se inundo de agua .  Lo recomiendo.","Excelente lugar.  Buena atención la comida muy buena, y las margaritas geniales, a pesar  de que esa tarde noche la lluvia fue demasiado y se inundo de agua .  Lo recomiendo."
55,"Internacional, Estadounidense, Saludable, Centroamericana, Costarricense, Contemporánea",positive,"Un delicioso almuerzo, un buen ambiente, y una excelente atención de parte de Chestre que se caracteriza por su sonrisa amable","Un delicioso almuerzo, un buen ambiente, y una excelente atención de parte de Chestre que se caracteriza por su sonrisa amable"
56,"Internacional, Estadounidense, Saludable, Centroamericana, Costarricense, Contemporánea",positive,Fui a el restaurante porque me lo habían recomendado por su gran experiencia el menú increíble demasiadas opciónes para elegir también hay opciones para celíacos«hasta cervezas». Excelente servicio brindado por Luis André Rodríguez super amable espero volver,Fui a el restaurante porque me lo habían recomendado por su gran experiencia el menú increíble demasiadas opciónes para elegir también hay opciones para celíacos«hasta cervezas». Excelente servicio brindado por Luis André Rodríguez super amable espero volver
57,"Estadounidense, Bar",positive,"Lo rico de una hamburguesa sin sentir que se acerca a fast food, poder seleccionar las salsas es lo que mas me gusta","Lo rico de una hamburguesa sin sentir que se acerca a fast food, poder seleccionar las salsas es lo que mas me gusta"
58,"Parrilla, Fusión",positive,"Familia de cinco. $15- $20 por plato. Selección de la Feria de bebidas. Gran conocedor servidor y la comida estaba muy rica. Tuve el mahi mahi ennegrecido. Familia tenía chuletas de cerdo, hamburguesa y filete. Todos disfrutaron de sus comidas.","Familia de cinco. $15- $20 por plato. Selección de la Feria de bebidas. Gran conocedor servidor y la comida estaba muy rica. Tuve el mahi mahi ennegrecido. Familia tenía chuletas de cerdo, hamburguesa y filete. Todos disfrutaron de sus comidas."
59,"Peruana, Latina, Mariscos",positive,Este restaurante captura el auténtico sabor peruano. Es una excelente opción para la familia y de negocios.,Este restaurante captura el auténtico sabor peruano. Es una excelente opción para la familia y de negocios.
60,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,"La sugerencia para visitar este lugar pintoresco para Costarricense auténtica comida y el ambiente estaba hecha por nuestros amigos de Costa Rica junto con el personal de nuestro hotel en el Gran Hotel Costa Rica. Estamos encantados de tener una auténtica experiencia cuando visitamos nuestra Tierra. La decoración, el ambiente, el servicio y la comida era genial. tarifas muy razonables. Lo único que podían hacer sin que su experiencia sería abandonar la TV's.Esta es una visita obligada si estás en la zona de San José de Costa Rica.","La sugerencia para visitar este lugar pintoresco para Costarricense auténtica comida y el ambiente estaba hecha por nuestros amigos de Costa Rica junto con el personal de nuestro hotel en el Gran Hotel Costa Rica. Estamos encantados de tener una auténtica experiencia cuando visitamos nuestra Tierra. La decoración, el ambiente, el servicio y la comida era genial. tarifas muy razonables. Lo único que podían hacer sin que su experiencia sería abandonar la TV's.Esta es una visita obligada si estás en la zona de San José de Costa Rica."
61,"Latina, Fuente de soda, Centroamericana, Costarricense",positive,"Es un punto clasico de la sociedad costarricense porque ademas de que tiene como 50 años, abre las 24 horas y queda en la entrada del Paseo Colon, se puede comer comida tipica, con helados siempre sabrosos. Quien en sus años mozos, no ha ido a desayunar en la madrugada a la soda tapia despues de una noche de diversion y juerga?. Para los foráneos, es un sitio que siempre se debe tener en cuenta.","Es un punto clasico de la sociedad costarricense porque ademas de que tiene como 50 años, abre las 24 horas y queda en la entrada del Paseo Colon, se puede comer comida tipica, con helados siempre sabrosos. Quien en sus años mozos, no ha ido a desayunar en la madrugada a la soda tapia despues de una noche de diversion y juerga?. Para los foráneos, es un sitio que siempre se debe tener en cuenta."
62,"Japonesa, Sushi, Asiática, Bar, Pub, Saludable",positive,"El tamaño de los rolls buenísimo, muy linda la presentación de los platos y estaban todos a 50%! Genial!","El tamaño de los rolls buenísimo, muy linda la presentación de los platos y estaban todos a 50%! Genial!"
