,Tipo_Comida,Calificacion_Comentario,Comentario,Comentario corregido
10,"Mariscos, Sudamericana, Centroamericana, Costarricense",negative,"Paramos para una Margarita de $ 1.00 que era exhibidos en la entrada de la calle. El camarero nos preguntó si queríamos ""congelados"" margaritas y aperitivos con nuestra bebida. Nos explicó que ya habíamos comido en una soda cercano, pero queríamos el menú para decidir sobre una vuelta para cenar en el día siguiente.Cuando nos presentaron una factura por $24.00 por 2 margaritas, me hice muy enojado. La única respuesta que recibimos de la ""director"" era que ""debería haber pedido la margarita de $ 1.00 "". Mi respuesta en este momento es ""no pedir una margarita de $12,00 .Ten cuidado con los anuncios especiales en este lugar!","Paramos para una Margarita de $ 1.00 que era exhibidos en la entrada de la calle. El camarero nos preguntó si queríamos ""congelados"" margaritas y aperitivos con nuestra bebida. Nos explicó que ya habíamos comido en una soda cercano, pero queríamos el menú para decidir sobre una vuelta para cenar en el día siguiente.Cuando nos presentaron una factura por $24.00 por 2 margaritas, me hice muy enojado. La única respuesta que recibimos de la ""director"" era que ""debería haber pedido la margarita de $ 1.00 "". Mi respuesta en este momento es ""no pedir una margarita de $12,00 .Ten cuidado con los anuncios especiales en este lugar!"
11,"Mexicana, Internacional",negative,"Emocionados de ver el Festival de luces en el Barrio Escalante y debido a la lluvia decidimos probar Frida. Las bebidas estaban bien, no está mal no es genial y eran grandes. El problema fue que el quesadilla de pollo. No hay pollo y finas como una hoja de papel. Muy decepcionante. Tanto la camarera y el propietario que estaban muy, muy bien empujado el plato más caro en el menú: LA FRANJA DE NUEVA YORK por más de 10. 000 colones. Gracias a Dios que no pedir entradas. Pagamos por el vacío y el apetito sin problemas nuestro bien finas bebidas y a la izquierda. Además, camarera desapareció por un tiempo muy largo después que dejó la comida y era tan difícil conseguir la ley que había de bandera otros miembros del personal. Muy, muy decepcionado con este restaurante y nunca volveré de nuevo. Ir a Taco Bell. . Tienen mejor quesadillas. Aguimd. . Un decepcionado tico.","Emocionados de ver el Festival de luces en el Barrio Escalante y debido a la lluvia decidimos probar Frida. Las bebidas estaban bien, no está mal no es genial y eran grandes. El problema fue que el quesadilla de pollo. No hay pollo y finas como una hoja de papel. Muy decepcionante. Tanto la camarera y el propietario que estaban muy, muy bien empujado el plato más caro en el menú: LA FRANJA DE NUEVA YORK por más de 10. 000 colones. Gracias a Dios que no pedir entradas. Pagamos por el vacío y el apetito sin problemas nuestro bien finas bebidas y a la izquierda. Además, camarera desapareció por un tiempo muy largo después que dejó la comida y era tan difícil conseguir la ley que había de bandera otros miembros del personal. Muy, muy decepcionado con este restaurante y nunca volveré de nuevo. Ir a Taco Bell. . Tienen mejor quesadillas. Aguimd. . Un decepcionado tico."
12,"Italiana, Europea, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano",negative,"La entrada, una sopa de tomate tardó 52 minutos, estoy esperando el plato principal, ojalá cuando llegue, alcance a estar despierto.","La entrada, una sopa de tomate tardó 52 minutos, estoy esperando el plato principal, ojalá cuando llegue, alcance a estar despierto."
13,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,"Servicio horrible trampa, ourist (el director) era grosero y poco respetuoso, trato preferencial en términos de precio: los turistas nacionales (ilegal contra discriminación de precios). La Defensoria da Água de los consumidores en Costa Rica debería considerar cuidadosamente y auditoría este lugar mirar las diferencias de precio y las incoherencias que. Sólo para darle una idea, nos cobraron $65 dólares por un pitcher de margaritas, y aunque el tema está listado en el menú el precio no es culpa nuestra que no pide el precio en primer lugar. Además, hay restaurantes que sirven comida auténtica mejor Costa Rica y ofreciendo un buen servicio ético (por ejemplo, La Casona Tipica o Cafe en el Amon Hotel Don Carlos).En resumen, hazte un favor y evita este lugar.","Servicio horrible trampa, ourist (el director) era grosero y poco respetuoso, trato preferencial en términos de precio: los turistas nacionales (ilegal contra discriminación de precios). La Defensoria da Água de los consumidores en Costa Rica debería considerar cuidadosamente y auditoría este lugar mirar las diferencias de precio y las incoherencias que. Sólo para darle una idea, nos cobraron $65 dólares por un pitcher de margaritas, y aunque el tema está listado en el menú el precio no es culpa nuestra que no pide el precio en primer lugar. Además, hay restaurantes que sirven comida auténtica mejor Costa Rica y ofreciendo un buen servicio ético (por ejemplo, La Casona Tipica o Cafe en el Amon Hotel Don Carlos).En resumen, hazte un favor y evita este lugar."
14,"Italiana, Mediterránea",negative,Es un restaurante dividido en 2. Una parte linda y otra fea. Aunque no se si llamarle restaurante porque tienen una carta con 5 platos y solo ofrecen 3.Dice restaurante italiano pero la unica pasta que estaba en el menu no estaba disponible.La atencion excelente. Pero no tenian que servir. Una pena,Es un restaurante dividido en 2. Una parte linda y otra fea. Aunque no se si llamarle restaurante porque tienen una carta con 5 platos y solo ofrecen 3.Dice restaurante italiano pero la unica pasta que estaba en el menu no estaba disponible.La atencion excelente. Pero no tenian que servir. Una pena
15,"Latina, Centroamericana, Costarricense, Saludable",negative,Un pollo entero con ensalada y 1 acompañante en mas de 17.000 colones? Realmente pensé que me comería el mejor pollo del mundo. Pero no. La verdad no volvería. Muy costoso sin un extraordinario sabor.,Un pollo entero con ensalada y 1 acompañante en mas de 17.000 colones? Realmente pensé que me comería el mejor pollo del mundo. Pero no. La verdad no volvería. Muy costoso sin un extraordinario sabor.
16,"Internacional, Estadounidense, Saludable, Centroamericana, Costarricense, Contemporánea",negative,"Pésimo servicio! Hasta para cobrar duraron, ningún mesero ponía atencion y a la Que nos tomó la orden no la vimos en 35 minutos! Lastima Xq la comida estaba buena ","Pésimo servicio! Hasta para cobrar duraron, ningún mesero ponía atencion y a la Que nos tomó la orden no la vimos en 35 minutos! Lastima Xq la comida estaba buena "
17,Coreana,negative,"Debido a que un grupo de compañeros cumplían años y querían conocer, decidimos ir un grupo de unas 15 personas. Nos ofrecieron un menú de 10 personas asegurándonos incluso que iba a quedar comida para llevar. Estuvimos de acuerdo, sin embargo cuando empezaron a servir cada uno de los platos que incluía el ""combo"" estaban en uno solo incluyendo hasta el postre. Fue súper complicado pasar los platos por cada uno de los asistentes, incluso algunos no probaron todos los platos, e incluso al final estaba hasta fría. Sin embargo aún faltaba la cereza al pastel en esta visita, al pagar la cuenta nos cobraron a los 15, cuando inflame te el menú era para 10. Culminando con una visita que al final por mas que tratemos no se volverá a repetir.","Debido a que un grupo de compañeros cumplían años y querían conocer, decidimos ir un grupo de unas 15 personas. Nos ofrecieron un menú de 10 personas asegurándonos incluso que iba a quedar comida para llevar. Estuvimos de acuerdo, sin embargo cuando empezaron a servir cada uno de los platos que incluía el ""combo"" estaban en uno solo incluyendo hasta el postre. Fue súper complicado pasar los platos por cada uno de los asistentes, incluso algunos no probaron todos los platos, e incluso al final estaba hasta fría. Sin embargo aún faltaba la cereza al pastel en esta visita, al pagar la cuenta nos cobraron a los 15, cuando inflame te el menú era para 10. Culminando con una visita que al final por mas que tratemos no se volverá a repetir."
18,"Estadounidense, Churrasquería",negative,"Mal servicio, una hora esperando la cena, preguntamos dos veces y la respuesta fue en 5 minutos y nunca llegaron, el restaurante no estaba lleno, no hubo disculpas por parte del gerente","Mal servicio, una hora esperando la cena, preguntamos dos veces y la respuesta fue en 5 minutos y nunca llegaron, el restaurante no estaba lleno, no hubo disculpas por parte del gerente"
19,"Italiana, Pizzería",negative,"Comida italiana comercial y de precio alto en comparación con tamaño, cantidad, calidad y sabor, si buscan un verdadero restaurante italiano esta no es una opción.","Comida italiana comercial y de precio alto en comparación con tamaño, cantidad, calidad y sabor, si buscan un verdadero restaurante italiano esta no es una opción."
20,"Estadounidense, Comida rápida",negative,"Muy alto el precio para la cantidad de helado ofrecida , el lugar no muy cómodo,por la tarde fuerte el sol y hay que hacer fila en la acera, siendo el lugar atendido por solo una persona , cobrando y sirviendo , lo que hace es pasar de ventana al cliente para recibir el helado .","Muy alto el precio para la cantidad de helado ofrecida , el lugar no muy cómodo,por la tarde fuerte el sol y hay que hacer fila en la acera, siendo el lugar atendido por solo una persona , cobrando y sirviendo , lo que hace es pasar de ventana al cliente para recibir el helado ."
21,"Latina, Centroamericana, Costarricense",negative,"A finales de los 90 tuve la agradable experiencia de conocer la Criollita cerca del INS en San Jose, el fin de semana volví y noté un gran cambio que me hizo pensar en una experiencia agradablemente olvidable, no lo recomiendo, el sabor es regular, la atención muy buena, la cantiad de comida es para que cobren el 10% de lo que uno paga. No se embarque.","A finales de los 90 tuve la agradable experiencia de conocer la Criollita cerca del INS en San Jose, el fin de semana volví y noté un gran cambio que me hizo pensar en una experiencia agradablemente olvidable, no lo recomiendo, el sabor es regular, la atención muy buena, la cantiad de comida es para que cobren el 10% de lo que uno paga. No se embarque."
22,"Japonesa, Sushi, Asiática, Saludable",negative,"Nos dijeron que vienen aquí por el sushi. No el resto de la comida. Así que nos detuvimos por y nos dieron un rollo Nau de sushi, probablemente fue uno de los peores que he tenido. El arroz era blanda como era viejo. Nos llevó al chico dos trata de hacer pero que todavía no se ven bien. No lo recomiendo!!","Nos dijeron que vienen aquí por el sushi. No el resto de la comida. Así que nos detuvimos por y nos dieron un rollo Nau de sushi, probablemente fue uno de los peores que he tenido. El arroz era blanda como era viejo. Nos llevó al chico dos trata de hacer pero que todavía no se ven bien. No lo recomiendo!!"
23,Fusión,negative,"Después de algunos meses hoy volví a Saúl Bistro y me llevé una enorme decepción con la atención (la cual antes era impecable), el primer mesero ni buenos días supo decir solo puso los menús y se fue, el segundo un poco más atento, pero no sé si por falta de personal, el servicio fue lento y para cada pedido (bebidas, comida, cuenta) duraron bastante a pesar de que el restaurante no estaba ni a la mitad de lleno.El desayuno salado ese si estaba muy rico, pero pedimos una tostada francesa para llevar y estaba quemada por abajo...Deben poner atención, porque la calidad baja, los precios se mantienen y la oferta gastronómica en los alrededores aumenta! ","Después de algunos meses hoy volví a Saúl Bistro y me llevé una enorme decepción con la atención (la cual antes era impecable), el primer mesero ni buenos días supo decir solo puso los menús y se fue, el segundo un poco más atento, pero no sé si por falta de personal, el servicio fue lento y para cada pedido (bebidas, comida, cuenta) duraron bastante a pesar de que el restaurante no estaba ni a la mitad de lleno.El desayuno salado ese si estaba muy rico, pero pedimos una tostada francesa para llevar y estaba quemada por abajo...Deben poner atención, porque la calidad baja, los precios se mantienen y la oferta gastronómica en los alrededores aumenta! "
24,"China, Asiática",negative,"Este restaurante, ubicado en Momentum Pinares, y que según me informaron inició operaciones el sábado 25 de junio, ofrece buena atención al cliente (compré para llevar). Sin embargo, la comida no estuvo bien. El arroz quemado y de mal aspecto. El cerdo agridulce venía con demasiada salsa y de sabor regular. El cerdo con partes difíciles de comer. Y omitieron la salsa para el wan tan. Parece que en su lugar echaron el doble de la salsa agridulce para el cerdo. ","Este restaurante, ubicado en Momentum Pinares, y que según me informaron inició operaciones el sábado 25 de junio, ofrece buena atención al cliente (compré para llevar). Sin embargo, la comida no estuvo bien. El arroz quemado y de mal aspecto. El cerdo agridulce venía con demasiada salsa y de sabor regular. El cerdo con partes difíciles de comer. Y omitieron la salsa para el wan tan. Parece que en su lugar echaron el doble de la salsa agridulce para el cerdo. "
25,"De la India, Asiática, Saludable",negative,"Fuimos el pasado fin de semana en pareja, con reserva previa online ya que amigos nos lo había recomendado como ""su restaurante preferido en San José"". El lugar es hermoso, con decoración y vajilla alucinante, muy limpio y bien cuidado. Los mozos fueron siempre atentos, pero equivocaron DOS VECES nuestra orden, luego demoraron más de media hora para traernos el te chai que habíamos ordenado y, para completarla, confundieron nuevamente DOS VECES nuestra cuenta, la cual llegó con platos que no habíamos solicitado. Los servidores siempre intentaron ser amables y disculparse, pero no hubo ningún resarcimiento real. La comida es buena, pero nada descomunal, o al menos esa fue la experiencia que nos tocó vivir.","Los mozos se equivocaron DOS VECES nuestra orden, luego demoraron más de media hora para traernos el te chai que habíamos ordenado y, para completarla, confundieron nuevamente DOS VECES nuestra cuenta, la cual llegó con platos que no habíamos solicitado. Los servidores siempre intentaron ser amables y disculparse, pero no hubo ningún resarcimiento real. La comida es buena, pero nada descomunal, o al menos esa fue la experiencia que nos tocó vivir."
26,"Latina, Centroamericana, Costarricense",negative,"En primera instancia el menú me pareció poco variado, el lugar tiene una vista impresionante, pero creo q es lo mejor que tiene el ""famoso"" mirador, no me gustó que sirvieran la comida en plato de ""Metal"", además el fresco está insípido (fresa en agua) el precio me pareció elevado para la calidad de comida.","En primera instancia el menú me pareció poco variado, el lugar tiene una vista impresionante, pero creo q es lo mejor que tiene el ""famoso"" mirador, no me gustó que sirvieran la comida en plato de ""Metal"", además el fresco está insípido (fresa en agua) el precio me pareció elevado para la calidad de comida."
27,"Comida de calle, Italiana, Japonesa, Estadounidense, Bar, Café",negative,"He ido con mi novia un par de veces. Bonito lugar para estar, está la ventaja de que uno paga al ordenar y así no están luego meseros rondando con la actitud de ""si no vá a consumir más entonces pague y váyase""En lo q respecta a precios, caro para lo que en realidad ofrece, con el ceviche, se aprecia el intento de hacer algo original, la carne de las hamburguesas es igual a la de McDonald's, solo que el triple de caroEn el servicio, pues lo típico de gente que no le gusta el trabajo que tiene, entonces te atienden como si uno anduviera pidiendo de a gratis.Recomendable para los que no les molesta pagar de más y recibir poco por su dinero.","He ido con mi novia un par de veces. Bonito lugar para estar, está la ventaja de que uno paga al ordenar y así no están luego meseros rondando con la actitud de ""si no vá a consumir más entonces pague y váyase""En lo q respecta a precios, caro para lo que en realidad ofrece, con el ceviche, se aprecia el intento de hacer algo original, la carne de las hamburguesas es igual a la de McDonald's, solo que el triple de caroEn el servicio, pues lo típico de gente que no le gusta el trabajo que tiene, entonces te atienden como si uno anduviera pidiendo de a gratis.Recomendable para los que no les molesta pagar de más y recibir poco por su dinero."
28,"Italiana, Mediterránea, Europea",negative,"Fui con mi novio a este restaurante y lo recomiendo fue un grande. Me decepcionó Habíamos pedido la pizza con Prosciutto di Parma, y un plato de ravioles ""tri"".La pizza era frío, seco y no crujientes, incluso la rúcula sin sabor y el jamón!! Increíble! Los ravioles estaban crudas en las fronteras y el relleno estaba frío y seco, no en todas las cosas cremosa deliciosa sabemos es la manera italiana.Para terminar no nos atrevemos a tener un postre pero pedir un espresso. Otro error, el café fue quemada y larga, esta gente no tienen nada de italiano en su menú.Se anuncia como restaurante italiano y entregar esa suerte de sabores debe ser ilegal.","Fui con mi novio a este restaurante y lo recomiendo fue un grande. Me decepcionó Habíamos pedido la pizza con Prosciutto di Parma, y un plato de ravioles ""tri"".La pizza era frío, seco y no crujientes, incluso la rúcula sin sabor y el jamón!! Increíble! Los ravioles estaban crudas en las esquinas y el relleno estaba frío y seco, no en todas las cosas cremosa deliciosa sabemos es la manera italiana.Para terminar no nos atrevemos a tener un postre pero pedir un espresso. Otro error, el café fue quemada y larga, esta gente no tienen nada de italiano en su menú.Se anuncia como restaurante italiano y entregar esa suerte de sabores debe ser ilegal."
29,"Costarricense, Mariscos, Internacional",negative,"Ordenamos 3 platos fuertes y una entrada con 3 cervezas y 4 copas de vino y nos cobraron 200 dólares La comida estaba bien básica, sencilla y nada extraordinario Una de las entradas fue el tartar de atun y cuando me lo sirvieron quedé anonadada ya que lo sirvieron con un paquete de galleta sodaCasi me infarto!! Que lugar que cobra 15 mil colones por un plato pequeño coloca una galleta soda ?!! Pésimo ","Ordenamos 3 platos fuertes y una entrada con 3 cervezas y 4 copas de vino y nos cobraron 200 dólares La comida estaba bien básica, sencilla y nada extraordinario Una de las entradas fue el tartar de atun y cuando me lo sirvieron quedé anonadada ya que lo sirvieron con un paquete de galleta sodaCasi me infarto!! Que lugar que cobra 15 mil colones por un plato pequeño coloca una galleta soda ?!! Pésimo "
30,"Japonesa, Sushi, Asiática, Bar, Pub, Saludable",negative,"La persona que atiende el teléfono súper grosera, y no explica para nada bien. Incluso me colgó el teléfono.","La persona que atiende el teléfono súper grosera, y no explica para nada bien. Incluso me colgó el teléfono."
31,"Latina, Bar, Centroamericana, Costarricense",negative,"Not nice atmosphere, two crowded not inviting.El lugar no invita a quedarse. Un desorden. La comica podrá ser aceptable pero el ambiente no Es agradable.","No es un buen ambiente, esta demasiado lleno de gente. El lugar no invita a quedarse. Un desorden. La comica podrá ser aceptable pero el ambiente no es agradable."
32,"Café, Internacional",negative,"La comida estuvo bien,Lastima Que el servicio estuvo fatal, aparte sólo 1 silla de bebe tienen y no tienen cambiador para bebés.",",Lastima Que el servicio estuvo fatal, aparte sólo 1 silla de bebe tienen y no tienen cambiador para bebés."
33,"Latina, Fuente de soda, Centroamericana, Costarricense",negative,"Un lugar clásico para los ticos, claro nosotros al regresar por la zona decidimos ir a comer. Han cambiado mucho, ahora tiene precios altos, por comida tan básica como un casado, un sandwich y la calidad no es buena. Los platos llegaron fríos, el mesero se equivocó en traer 3 platos de comida, cuando habíamos pedido 2, y se molestó porque le pedimos regresarlo.Si tienen otra opción diferente a Soda La Tapia, vayan.","Un lugar clásico para los ticos, claro nosotros al regresar por la zona decidimos ir a comer. Han cambiado mucho, ahora tiene precios altos, por comida tan básica como un casado, un sandwich y la calidad no es buena. Los platos llegaron fríos, el mesero se equivocó en traer 3 platos de comida, cuando habíamos pedido 2, y se molestó porque le pedimos regresarlo.Si tienen otra opción diferente a Soda La Tapia, vayan."
34,"Latina, Mariscos, Centroamericana, Costarricense",negative,"Muy mal servicio, aparte de que tardó mas de 30 min en llegar la comida, luego de esto tuvimos que pedirle como a 3 meseros que nos trajeran los cubiertos para poder comer. Los postres son increiblemente pequeños !!!","Muy mal servicio, aparte de que tardó mas de 30 min en llegar la comida, luego de esto tuvimos que pedirle como a 3 meseros que nos trajeran los cubiertos para poder comer. Los postres son increiblemente pequeños !!!"
35,"Mediterránea, Del Medio Oriente",negative,"Será que lo visite en el momento no adecuado ? Puede ser; lo visite durante el festival gastronómico 1.30 horas de espera y al resto de mesas si las atendían medianamente mejor que la nuestra, entiendo, que quizás no esperaron la cantidad de personas? Será ? Pero a eso se dedican? O no?, el festival de cordero lo trajeron para 2 personas y lo pedí para 1, los ravioles eran en salsa de tomate y llegaron en salsa blanca, las bebidas llegaron con 25 de atraso, cero servilletas, la camarera se disculpa pero no hace nada por remediarlo, creo que es un buen restaurante pero para nosotros la experiencia fue pésima (escuchar comentarios de la cocina donde se le acabo ""x"" producto, cierre la cocina, o caras y malos tratos deja mucho que desear) ","Será que lo visite en el momento no adecuado ? Puede ser; lo visite durante el festival gastronómico 1.30 horas de espera y al resto de mesas si las atendían medianamente mejor que la nuestra, entiendo, que quizás no esperaron la cantidad de personas? Será ? Pero a eso se dedican? O no?, el festival de cordero lo trajeron para 2 personas y lo pedí para 1, los ravioles eran en salsa de tomate y llegaron en salsa blanca, las bebidas llegaron con 25 de atraso, cero servilletas, la camarera se disculpa pero no hace nada por remediarlo, creo que es un buen restaurante pero para nosotros la experiencia fue pésima (escuchar comentarios de la cocina donde se le acabo ""x"" producto, cierre la cocina, o caras y malos tratos deja mucho que desear) "
36,"Estadounidense, Bar, Pub, Centroamericana",negative,"No hay buena ventilación, el servicio lento y la comida fría y sin sabor... La bebida natural estaba pasada de días y el postre también.","No hay buena ventilación, el servicio lento y la comida fría y sin sabor... La bebida natural estaba pasada de días y el postre también."
37,Japonesa,negative,"Recibimos un mal servicio, parecía que les faltaba gente. La comida regular y el show del Tepanyaki muy simple. Nos dieron un postre gratis para compensar.","Recibimos un mal servicio, parecía que les faltaba gente. La comida regular y el show del Tepanyaki muy simple. Nos dieron un postre gratis para compensar."
