,ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
11,g1887338-d3265135,Go Fish Seafood Co.,4.5,Mariscos,"Del fresh market 100 norte mano derecha Guayabos, Curridabat 11801 Costa Rica","9.925733,-84.02751","Estuve en el restaurante para almorzar, pedimos la sopa de mariscos Puerto Viejo y tardaron 1 hora para servirnos porque según el mesero la orden nunca llegó a La Cocina. Finalmente nos quejamos sobre la calidad de la comida que venía simple y los mariscos deficientes, pero no nos cobraron la comida.En otras ocasiones la comida y el servicio me han parecido buenos, este domingo no fue un buen día.",8-enero-2017,1
12,g1887338-d3265135,Go Fish Seafood Co.,4.5,Mariscos,"Del fresh market 100 norte mano derecha Guayabos, Curridabat 11801 Costa Rica","9.925733,-84.02751","El día de ayer visitamos el restaurante y pedimos la Sopa de Mariscos Puerto Viejo! Simplemente deliciosa, no he visto esta receta en otros restaurantes me parece muy original y con un sabor único, no es picante pero tiene el sabor del chile panameño. El otro plato fue el Risotto de Salmón al Verdi y también estaba delicioso de verdad recomiendo estos dos platos!",14-septiembre-2016,5
13,g1887338-d3265135,Go Fish Seafood Co.,4.5,Mariscos,"Del fresh market 100 norte mano derecha Guayabos, Curridabat 11801 Costa Rica","9.925733,-84.02751","Fuimos un domingo tan pronto como el restaurante abrió sus puertas. Sorprendentemente, abrieron la puerta a pocos minutos temprano y nos dejó entrar. Nos sentábamos afuera. Mis hijos tenían las tiras de pollo y mi marido y yo compartimos las el camarón y cajún patatas fritas. Todo estaba delicioso. volveremos :)",23-marzo-2014,5
14,g1887338-d4411723,Albero Restaurante,4.5,"Española, Mediterránea","200 M North Del Fresh Market, in front of Granadilla-Concepcion, Curridabat Costa Rica","9.926383,-84.02703","He ido varias veces y estoy seguro de querer volver. Un menú que le recuerda cualquier almuerzo con vista a La Giralda. Hoy tuve el placer de degustar una paella de mariscos con mi familia, además de un cochinillo asado y debo decir que era simplemente espectacular. La porción de paella dice ser para 10, pero alcanza para más comensales. El cochinillo, a la altura de los mejores lugares de España.Todos quedamos satisfechos y contentos de la elección.",19-febrero-2017,5
15,g1887338-d3599817,La Fonda Azteca,4.0,"Mexicana, Latina","Centro Comercial Momentum, Curridabat 11801 Costa Rica","9.957525,-84.1965","Durante nuestra visita de trabajo en la Academia Nacional de Bomberos de Costa Rica, decidimos alojarnos en el Hotel Hyatt ubicado en la Plaza Momentum. Por las noches buscamos opciones para cenar, siendo la más destacada experiencia la vivida en este restaurant de comida mexicana. Fue tan grata la experiencia que terminamos cenando ahi durante tres noches.",17-diciembre-2019,5
16,g1887338-d3599817,La Fonda Azteca,4.0,"Mexicana, Latina","Centro Comercial Momentum, Curridabat 11801 Costa Rica","9.957525,-84.1965","Comida con poco sabor y de baja calidad para el precio cobrado. Pedimos costillas de cerdo y tenían una mínima cantidad de carne (casi todo era grasa), además de tener la textura del cerdo recocinado (parecían añejas). La atención y las bebidas estuvieron bien.",27-agosto-2018,2
17,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996","Platillo de camarones a 17.000 colones.  17.000.    30 dólares camaroncitos de bolsa  como en la Princesa Marina.  Mejor comprarlos en Oceánica.Nos trajeron un corte de carne incomible, y con la pasta de equivocaron.  Vean el tamaño!",7-septiembre-2019,2
18,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996","La comida ea en realidad muy estándar, más bien comercial, en nada se asemeja al estilo argentino. Pero lo peor de la experiencia es el pésimo servicio que uno recibe, para nada recomendado",13-mayo-2018,1
19,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996","En general cuando recibes el plato que ordenaste,el plato se mira vacío, la ensalada viene en un plato aparte y la ensalada es igual de corriente a la que preparo en casa: lechuga con tomate y un poco de zanahoria. Los refrescos igualmente super corrientes. El plato promedio cuesta 15 mil colones,pero en mi caso no veo un gran sabor que haga valer el precio. La atención del mesero, también escasa, diría que apenas cumple. En resumen, primera y última vez que vengo, prefiero cocinar en casa cualquier corte de la carniceria de mi barrio.",6-diciembre-2016,1
20,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996","He visitado este restaurante unas 3 veces, el servicio es bueno y en dos ocasiones la comida estaba excelente, pero, en mi más reciente visita, la calidad de los cortes no era buena. Pedimos cortes argentinos pero parecían costarricenses y no estaban al nivel de los que nos habían dado en otras ocasiones.Lo más grave de esa más reciente visita fue que, al pagar la cuenta, nos cobraron un sobreprecio de casi 50mil, incluyendo una botella de vino y alimentos no pedidos..Nunca antes hemos revisado la cuenta y nos queda la impresión de que esto no es un error ocasional, pues al hacer el reclamo, la respuesta del mesero fue que eso no hacía intencionalmente. Una respuesta extraña, pues lo esperable es una disculpa inmediata, ni modo que el mesero dijera que era intencional y que los habíamos pillado. Recomiendo mucho cuidado al ordenar y, especialmente, al pagar.",19-septiembre-2015,3
21,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996",El espacio es muy reducido y tardan demasiado en servir el plato fuerte. Los meseros son muy despreocupados de la atención a los clientes.,1-enero-2014,2
22,g1887338-d4697356,El Novillo Alegre - Curridabat,4.0,"Churrasquería, Latina, Argentina","Plaza Freses, Diagonal a la Pops, Curridabat 11801 Costa Rica","9.92631,-84.03996","Fui a El Novillo (en curridabat no el de Santa Ana) durante 2014 Marzo para cenar con un amigo. Llegamos un poco tarde por la noche, 9 pm y tenía un extraordinario servicio todavía.Justo en la entrada nos recibió señora que proporciona las mesas disponibles y inmediatamente nos dieron una camarera que nos atendió. La música estaba muy bien, el entorno también era bonito, con luces bajas y no hay mucho ruido incluso si había unos cuantos clientes en el lugar. El lugar tiene mucha decoración, de alguna manera estilo retro pero muy agradable. Hay una segunda ubicación de la planta que está reservado para eventos especiales y puede albergar a un máximo de 50 personas fácilmente según el personal de personal.Para beber, tuvimos una botella de vino, tenían algunas ofertas especiales pero desafortunadamente no tenían una carta de vinos o tarjeta bien presentada ... sólo algunos cuadros con carta de vinos que me dieron. No es el más elegante manera de mostrar su cliente es el vino opciones. De todas maneras, no hay nada malo ... la camarera una feria conocimiento de la selección y fue capaz de responder mis preguntas.Tienen una buena variedad de carnes, cortes diferentes y todas ellas muy buenas ... pero claro, si eres una carne amante, este es tu lugar. Pedimos unos 300 gr lomito (3/4 hecha) y 400 gr T-bone (no show en el menú) ambas G-R-E-a-T. Normalmente no comas mucho carne pero tengo que decir que fue una increíble selección ... mi amigo es un amante de la carne, y mencionó que ambos deliciosos.No pedimos entradas pero ofrecen pan con 3 cosas, chimicurry (el original), crema de queso y lo que llamamos en Costa Rica ""pico de gallo"" que son tomates picados con algunas especias y cebollas. (a menudo llamado chimicurry también). no tuvimos postre o como estábamos muy, muy lleno, pero conseguimos la oferta del personal.a las 10:00 el cerrado el lugar pero nunca nos sentimos como me daban patadas, en su lugar, el personal era muy respectfull y esperaron pacientemente para terminar. Si paga con la tarjeta credomatic te dan 30% de descuento que también es genial ... el registro si es aún como es una oferta que va hasta 2014 Julio en cuanto a entender (pero no me hagáis caso, mejor preguntar).Hay tranquilos un buen espacio de aparcamiento (compartida con otros restaurantes), también, sólo tenía un grave perjuicio y no puedo caminar bien pero el espacio es lo suficientemente bueno como para gestionar ... no estoy seguro de si una persona en una silla de ruedas podría ir a la 2ª planta, pero seguramente el 1Â° piso está bien.Ve y disfruta! Al final pagamos unos 35'000 cambiar a colones no con la discaoount aplican ... (menos de $100), no está mal para un lugar sitdown.",12-marzo-2014,4
23,g1887338-d19377288,Bottega Privée Pinares,4.5,"Italiana, Napolitana","Momentum Pinares, Curridabat 1100 Costa Rica","9.911091,-84.01794",Me gusta participar de las catas porque son muy amenas y se aprende de verdad. Alfredo siempre atento y el chef Doménico explicando siempre la historia y la receta de los platillos tradicionales italianos. Se consigue vinos excelentes a muy buenos precios!,11-diciembre-2019,5
24,g1887338-d3725801,Tacobar Pinares,4.0,Internacional,"Pinares, Curridabat, San Jose Centro Comercial Momentum Pinares, Curridabat 11801 Costa Rica","9.911144,-84.01723","El plato básico es bueno y uno puede pedir una gran variedad de pescado, pollo o carne. Lo más importante es que todos los complementos se sirven de una barra adicional que puedes comer lo que quieras y con una gran variedad. Lo básico es muy bueno.",26-septiembre-2016,4
25,g1887338-d3725801,Tacobar Pinares,4.0,Internacional,"Pinares, Curridabat, San Jose Centro Comercial Momentum Pinares, Curridabat 11801 Costa Rica","9.911144,-84.01723","A parte de que se necesita un manual de instrucciones para pedir la comida todo lo que pedimos estaba malísimo, el pescado pasado, mi refresco traía papel aluminio y los burritos, o mas bien, wrap de gallo pinto, incomibles... No volvería.",3-marzo-2016,1
26,g1887338-d7289719,Family Pizza,4.0,"Italiana, Pizzería","V221, Curridabat 11801 Costa Rica","9.918333,-84.03389","Es una trampa mortal!!! Riesgo de contagio de covid!!! La encargada cerró las ventanas y pusieron el aire acondicionado dejando a 20 personas sin flujo de aire a pesar de que le pedimos que lo abriera por seguridad de todos, dio media vuelta y se fue. La comida no es tan rica como para arriesgarse tanto en especial porque no hay alcohol en gel ni toman la temperatura, uno los quiere ayudar pero ellos no cuidan la salud de sus clientes.",23-abril-2021,1
27,g1887338-d7289719,Family Pizza,4.0,"Italiana, Pizzería","V221, Curridabat 11801 Costa Rica","9.918333,-84.03389","Otras veces he pedido pizza Express en este restaurante y no había estado tan decepcionada ☹️ la pizza era mediana , para el tamaño me pareció muy pequeña y cara ! También la atención por teléfono un poco sosa y sin detalle ... como la pizza , me pareció hecha sin cuidado ! No creo volver a pedir a este sitio",27-mayo-2020,2
28,g1887338-d3724630,Espressivo Bistró,4.0,"Café, Fusión, Saludable, Bar de vinos, Sudamericana, Costarricense","Centro Comercial Momentum Pinares Carretera vieja a Tres Ríos, frente al Walmart, Curridabat 11801 Costa Rica","9.911077,-84.017715","Probé el menú buffet del almuerzo, el cual no fue nada especial, ni en cuanto a sabores, presentación, variedad y calidad. No repetiría, siendo que hay gran variedad de restaurantes a su alrededor.",12-julio-2016,2
29,g1887338-d3724630,Espressivo Bistró,4.0,"Café, Fusión, Saludable, Bar de vinos, Sudamericana, Costarricense","Centro Comercial Momentum Pinares Carretera vieja a Tres Ríos, frente al Walmart, Curridabat 11801 Costa Rica","9.911077,-84.017715","Fuimos por el buffet ejecutivo y en el momento de empezar a servirnos el encargado del buffet nos indicó, no muy cortésmente, que debíamos servirnos todo de una vez, se refería a sopa, ensalada y plato fuerte. Le indicamos que si nos servíamos de una vez, se nos iba a enfriar el plato fuerte, a lo que nos respondió que era que cerraban el buffet en 15 min. No había rotulo que indicara el horario. No le hicimos caso y le comentamos a la camarera y nos indicó que eso no era política del negocio. A la semana siguiente volvimos y nos volvió a decir lo mismo, por lo que decidimos no volver a este lugar. ",22-febrero-2015,2
30,g1887338-d2537753,Kioto,4.0,"Japonesa, Sushi, Asiática, Tailandesa","Costado Norte del Centro Comercial Cristal Pricesmart, Curridabat 2150 Costa Rica","9.918233,-84.048775","Nos toman la orden y 45minutos después nos indican qué si queremos sushi tenemos que esperar 40 minutos más y solo estábamos 3 mesas, resulta que no había cocinero, la que chef es la dueña y llegó tarde, como puede funcionar un restaurante asi",13-septiembre-2019,1
31,g1887338-d2537753,Kioto,4.0,"Japonesa, Sushi, Asiática, Tailandesa","Costado Norte del Centro Comercial Cristal Pricesmart, Curridabat 2150 Costa Rica","9.918233,-84.048775","Me gustó mucho la comida, la mesera superior informada acerca de todos los platos y un lugar muy acogedor.",17-noviembre-2016,5
32,g1887338-d14801811,Kahli Restaurante,3.5,"Costarricense, Caribeña, Internacional","Tr. 111A, Curridabat 11802 Costa Rica","9.93516,-84.01125","Decepción total!Fui con mi familia que venía de Lima, Perú y quería pasar una tarde agradable con buena comida y estuvo fatal:1. El salonero no conocía los platos y no pudo darnos más referencias que el menú. Lo leía, literal.2. El tartar sin sabor ni gusto. 3. Los tres panecillos del menú tienen demasiada harina, nada de comida fina.4. El capuchino terrible... en Costa Rica puede haber mal café? Pue sí, qué pena!5. Cambiaron el menú y ya no es cafetería solo restaurante, así que olvídense para tomar un café con buenos acompañamientos como lo harían anteriormente.6. Para colmo el baño de damas no tenía papel higiénico.O sea... una tarde fatal y una gran decepción. Antes era delicioso pero ahora decayó bastante... es un lástima pues la Chef Sofía con mucha ilusión y esfuerzo abrió esta iniciativa.",6-mayo-2022,2
33,g1887338-d21326892,La Alacena Curridabat,4.0,"Española, Mediterránea, Europea, Bar de vinos","Granadilla Frente Al Colegio Franco, Curridabat Costa Rica","9.93112,-84.02124","La calidad totalmente deficiente, precios altos para el sabor y la cantidad. Pedimos una torta española insípida y seca, unos chipirones crudos y sin sabor. Y un arroz caldoso con pollo. Sin arroz. Lo único bueno el vino de la casa. Un Tempranillo de buen sabor . Mucho que mejorar. Terrible experiencia. 40000 por dos. Carísimo ",19-febrero-2021,1
34,g1887338-d10280272,La Fabrrica Pizzeria,3.5,"Italiana, Pizzería","Plaza Freses, Curridabat 11801 Costa Rica","9.92646,-84.03989","Fuimos con unos amigos, tardaron mucho en servirnos, no nos llevaron una ensalada y pretendían cobrarla, y cobran las pequeñas muestras de queso y pesto.No lo recomiendo en lo más  mínimo",8-marzo-2017,1
35,g1887338-d11962923,Cafe Frances,3.5,"Francesa, Internacional","Plaza del Sol, Curridabat Costa Rica","9.9289,-84.041405","Tengo como 3 meses de ser cliente frecuente, por lo menos 3 veces a la semana almorzando platillo de la carta. Religiosamente siempre el pollo a la pimienta, hoy la textura del pollo era fea, hulosa, hice el reclamo y me lo cambiaron pero el que llevaron era la misma textura e inmediatamente lo devolví, al pedir la cuenta noté que me lo cobraron, por instrucciones de la jefa (no sé si será la dueña). Los muchachos de servicio, quienes me conocen y siempre atienden amablemente no sabían donde meterse por la pena, pero cumplieron órdenes. Última vez que pongo un pie en este lugar, creo deberían tener más aprecio hacia los clientes y más aún cuando somos frecuentes. No era la primera vez que pedía ese platillo, tampoco los visitaba de manera esporádica, pero bueno, para la jefa valía más cobrar el platillo que valorar un cliente frecuente.",14-agosto-2019,1
36,g1887338-d11962923,Cafe Frances,3.5,"Francesa, Internacional","Plaza del Sol, Curridabat Costa Rica","9.9289,-84.041405","Fuimos con mucha ilusión debido a las buenas críticas, pero nuestra experiencia fue traumática, sobre todo por la pésima atención de la mesera y del mesero quienes nos atendieron con mala cara, con desprecio incluso, y se portaban como si estuvieran en la cocina de su casa con su familia. Y la comida, bueno, nada, como un casado de una soda del mercado (que seguro son mejores). Salimos corriendo, con la duda de si habríamos recibido esa descortesía absoluta por ser dos mujeres. De francés solo el nombre, por si acaso.",17-junio-2019,1
37,g1887338-d7193650,Caminito Momentum Pinares,3.0,"Churrasquería, Parrillada, Argentina, Española, Sudamericana","Momentum, Curridabat 11801 Costa Rica","9.91122,-84.01776","El personal es amable, pero lento(puede ser problema de cocina). Los calidad de la carne es promedio y los precios altos. Definitivamente no lo recomiendo, hay otros lugares mucho mejores.",11-junio-2019,2
38,g1887338-d7193650,Caminito Momentum Pinares,3.0,"Churrasquería, Parrillada, Argentina, Española, Sudamericana","Momentum, Curridabat 11801 Costa Rica","9.91122,-84.01776","Carne quemada, dura, nada de buena calidad a un precio muy alto. Se olvidaron de la mitad del pedido no lo recomiendo para nada no es carne nivel argentino, solo nombre.",7-abril-2016,2
39,g309293-d6631684,Cafe Rojo,4.5,"Café, Asiática, Vietnamita, Saludable, Fusión","Avenida 7 Con Calle 3 De la Alianza Francesa, 120 meters west, next to the bar La Amistad, San José 10101 Costa Rica","9.937227,-84.076996","Solo me tomé un café, pero nos atendieron muy bien, el café estaba muy rico y fue una experiencia linda, recomendado para una cita romántica o una plática más larga.",13-febrero-2019,4
40,g309293-d6631684,Cafe Rojo,4.5,"Café, Asiática, Vietnamita, Saludable, Fusión","Avenida 7 Con Calle 3 De la Alianza Francesa, 120 meters west, next to the bar La Amistad, San José 10101 Costa Rica","9.937227,-84.076996","Ensalada base de mucha lechuga no fresca cortada muy gruesa... no muy fácil de usar chop stick o tenedor con vegetales no muy frescos y los agregados de carne o vegetales. Con la base seleccione el pescado el cual estaba muy ácido por dentro lo cual o estaba malo o lo mejor lo preparan con anticipación y absorbió la salsa ácida muy rápido ... me pareció no fresco no recién hecho pero como dicen que es estilo Vienamiz como precalentado con una salsa de coco que del todo no sentí el sabor a coco y la porción del pescado fue pequeño y agregué los vegetales lo único bueno son los hongos. Mi esposo ordenó el Boom el cual estába con mucha lechuga el de él estuvo un poco mejor pero a la hora de pagar nos pareció ms caro de lo que está en la carta, Buen ambiente y muy buena atención pero la calidad y el precio muy altos por el plato servido.",12-octubre-2016,1
41,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635","Un lugar muy cómodo al tratarse de un restaurante ubicado en una casa antigua en Barrio Amón. Buena decoración. La alimentación es agradable en cuanto a multiplicidad de sabores y colores aunque las porciones son relativamente pequeñas. Los precios son acorde a la calidad del servicio y alimentación. Tiene el servicio de valet parking con un costo de 3 mil colones. El menú ejecutivo tiene un precio de 9 mil colones, que incluye entrada, bebida, plato fuerte y postre. En una zona rodeada de hoteles y restaurantes.",21-diciembre-2019,4
42,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635",He ido ya 3 veces en la misma semana y espero ir todo lo que pueda en mi estancia en costa rica. Es de estella Michelin...,14-julio-2019,5
43,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635","En primer lugar el servicio es de excelencia. El chef sumamente cuidadoso y detallista en la elaboración de los alimentos. No existen los “No” en este restaurante, todas las necesidades que tuvimos para la elaboracion de los platillos fueron tomadas en cuenta incluso variar el platillo por necesidad de una de las personas debido a alergia a alimentos.",4-julio-2019,5
44,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635",Me pareció sumamente caro y la comida no estaba a la altura de los precios. El lugar es más apariencia que otra cosa.,15-abril-2019,2
45,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635","Es un lugar muy agradable bien decorado en una casa antigua de San Jose, la comida fusion tica e internacional me gusto mucho muy bien servido.",28-septiembre-2017,5
46,g309293-d12689783,Restaurante Silvestre,4.5,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense","Calle 3A - Ave. 11 - #955 Barrio Amón, San José 10101 Costa Rica","9.938508,-84.07635","El día de ayer mi novia y yo fuimos a su restaurante para celebrar nuestro sexto aniversario. Escogimos dos menús degustación y el maridaje de vinos. La comida fue excelente, tanto en presentación como en sabor. Gran innovación de la comida tradicional costarricense.",20-septiembre-2017,5
47,g309293-d984017,Restaurante Jurgen's,4.5,"Internacional, Mediterránea, Europea","San Pedro, 300 Norte Grupo Q, Los Yoses, San José Costa Rica","9.933975,-84.05856","Sin lugar a dudas Jurgen's es para mí de los mejores restaurantes de Costa Rica, el menú súper variado, cada mes preparan un menú especial y en ocasiones prepara platillos especiales increíbles para festivales de ""Hamburguesas"" que sin lugar a dudas destacan de cualquier otro, excelente ambiente y atención ",3-septiembre-2016,5
48,g309293-d984017,Restaurante Jurgen's,4.5,"Internacional, Mediterránea, Europea","San Pedro, 300 Norte Grupo Q, Los Yoses, San José Costa Rica","9.933975,-84.05856","No puedo decir suficientes cosas buenas acerca de este restaurante. La comida se sirve fresco, así que está siempre a la temperatura deseada. He comido allí varias veces durante mi estancia en Costa Rica, y tiene Benin maravilloso cada vez. Además de la buena comida, los camareros hacen lo imposible para asegurar su satisfacción. Sin duda uno de los mejores restaurantes que he comido.",4-junio-2016,5
49,g309293-d984017,Restaurante Jurgen's,4.5,"Internacional, Mediterránea, Europea","San Pedro, 300 Norte Grupo Q, Los Yoses, San José Costa Rica","9.933975,-84.05856",Un pequeño hotel boutique hotel restaurante contiguo. excelente servicio y la comida es genial. En un pujante barrio. Lo recomiendo para el almuerzo o la cena.,23-febrero-2013,4
