,Tipo_Comida,Calificacion,Comentario,Calificacion_Comentario
22,"Churrasquería, Latina, Argentina",positive,fui a el novillo en curridabat no el de santa ana durante 2014 marzo para cenar con un amigo llegamos un poco tarde por la noche 9 pm y tenía un extraordinario servicio todavíajusto en la entrada nos recibió señora que proporciona las mesas disponibles y inmediatamente nos dieron una camarera que nos atendió la música estaba muy bien el entorno también era bonito con luces bajas y no hay mucho ruido incluso si había unos cuantos clientes en el lugar el lugar tiene mucha decoración de alguna manera estilo retro pero muy agradable hay una segunda ubicación de la planta que está reservado para eventos especiales y puede albergar a un máximo de 50 personas fácilmente según el personal de personalpara beber tuvimos una botella de vino tenían algunas ofertas especiales pero desafortunadamente no tenían una carta de vinos o tarjeta bien presentada sólo algunos cuadros con carta de vinos que me dieron no es el más elegante manera de mostrar su cliente es el vino opciones de todas maneras no hay nada malo la camarera una feria conocimiento de la selección y fue capaz de responder mis preguntastienen una buena variedad de carnes cortes diferentes y todas ellas muy buenas pero claro si eres una carne amante este es tu lugar pedimos unos 300 gr lomito 34 hecha y 400 gr tbone no show en el menú ambas great normalmente no comas mucho carne pero tengo que decir que fue una increíble selección mi amigo es un amante de la carne y mencionó que ambos deliciososno pedimos entradas pero ofrecen pan con 3 cosas chimicurry el original crema de queso y lo que llamamos en costa rica pico de gallo que son tomates picados con algunas especias y cebollas a menudo llamado chimicurry también no tuvimos postre o como estábamos muy muy lleno pero conseguimos la oferta del personala las 1000 el cerrado el lugar pero nunca nos sentimos como me daban patadas en su lugar el personal era muy respectfull y esperaron pacientemente para terminar si paga con la tarjeta credomatic te dan 30 de descuento que también es genial el registro si es aún como es una oferta que va hasta 2014 julio en cuanto a entender pero no me hagáis caso mejor preguntarhay tranquilos un buen espacio de aparcamiento compartida con otros restaurantes también sólo tenía un grave perjuicio y no puedo caminar bien pero el espacio es lo suficientemente bueno como para gestionar no estoy seguro de si una persona en una silla de ruedas podría ir a la 2ª planta pero seguramente el 1â° piso está bienve y disfruta al final pagamos unos 35000 cambiar a colones no con la discaoount aplican menos de 100 no está mal para un lugar sitdown,4
23,"Italiana, Napolitana",positive,me gusta participar de las catas porque son muy amenas y se aprende de verdad alfredo siempre atento y el chef doménico explicando siempre la historia y la receta de los platillos tradicionales italianos se consigue vinos excelentes a muy buenos precios,5
24,Internacional,positive,el plato básico es bueno y uno puede pedir una gran variedad de pescado pollo o carne lo más importante es que todos los complementos se sirven de una barra adicional que puedes comer lo que quieras y con una gran variedad lo básico es muy bueno,4
25,Internacional,negative,a parte de que se necesita un manual de instrucciones para pedir la comida todo lo que pedimos estaba malísimo el pescado pasado mi refresco traía papel aluminio y los burritos o mas bien wrap de gallo pinto incomibles no volvería,1
26,"Italiana, Pizzería",negative,es una trampa mortal riesgo de contagio de covid la encargada cerró las ventanas y pusieron el aire acondicionado dejando a 20 personas sin flujo de aire a pesar de que le pedimos que lo abriera por seguridad de todos dio media vuelta y se fue la comida no es tan rica como para arriesgarse tanto en especial porque no hay alcohol en gel ni toman la temperatura uno los quiere ayudar pero ellos no cuidan la salud de sus clientes,1
27,"Italiana, Pizzería",negative,otras veces he pedido pizza express en este restaurante y no había estado tan decepcionada ☹️ la pizza era mediana para el tamaño me pareció muy pequeña y cara también la atención por teléfono un poco sosa y sin detalle como la pizza me pareció hecha sin cuidado no creo volver a pedir a este sitio,2
28,"Café, Fusión, Saludable, Bar de vinos, Sudamericana, Costarricense",negative,probé el menú buffet del almuerzo el cual no fue nada especial ni en cuanto a sabores presentación variedad y calidad no repetiría siendo que hay gran variedad de restaurantes a su alrededor,2
29,"Café, Fusión, Saludable, Bar de vinos, Sudamericana, Costarricense",negative,fuimos por el buffet ejecutivo y en el momento de empezar a servirnos el encargado del buffet nos indicó no muy cortésmente que debíamos servirnos todo de una vez se refería a sopa ensalada y plato fuerte le indicamos que si nos servíamos de una vez se nos iba a enfriar el plato fuerte a lo que nos respondió que era que cerraban el buffet en 15 min no había rotulo que indicara el horario no le hicimos caso y le comentamos a la camarera y nos indicó que eso no era política del negocio a la semana siguiente volvimos y nos volvió a decir lo mismo por lo que decidimos no volver a este lugar,2
30,"Japonesa, Sushi, Asiática, Tailandesa",negative,nos toman la orden y 45minutos después nos indican qué si queremos sushi tenemos que esperar 40 minutos más y solo estábamos 3 mesas resulta que no había cocinero la que chef es la dueña y llegó tarde como puede funcionar un restaurante asi,1
31,"Japonesa, Sushi, Asiática, Tailandesa",positive,me gustó mucho la comida la mesera superior informada acerca de todos los platos y un lugar muy acogedor,5
32,"Costarricense, Caribeña, Internacional",negative,decepción totalfui con mi familia que venía de lima perú y quería pasar una tarde agradable con buena comida y estuvo fatal1 el salonero no conocía los platos y no pudo darnos más referencias que el menú lo leía literal2 el tartar sin sabor ni gusto 3 los tres panecillos del menú tienen demasiada harina nada de comida fina4 el capuchino terrible en costa rica puede haber mal café pue sí qué pena5 cambiaron el menú y ya no es cafetería solo restaurante así que olvídense para tomar un café con buenos acompañamientos como lo harían anteriormente6 para colmo el baño de damas no tenía papel higiénicoo sea una tarde fatal y una gran decepción antes era delicioso pero ahora decayó bastante es un lástima pues la chef sofía con mucha ilusión y esfuerzo abrió esta iniciativa,2
33,"Española, Mediterránea, Europea, Bar de vinos",negative,la calidad totalmente deficiente precios altos para el sabor y la cantidad pedimos una torta española insípida y seca unos chipirones crudos y sin sabor y un arroz caldoso con pollo sin arroz lo único bueno el vino de la casa un tempranillo de buen sabor mucho que mejorar terrible experiencia 40000 por dos carísimo,1
34,"Italiana, Pizzería",negative,fuimos con unos amigos tardaron mucho en servirnos no nos llevaron una ensalada y pretendían cobrarla y cobran las pequeñas muestras de queso y pestono lo recomiendo en lo más mínimo,1
35,"Francesa, Internacional",negative,tengo como 3 meses de ser cliente frecuente por lo menos 3 veces a la semana almorzando platillo de la carta religiosamente siempre el pollo a la pimienta hoy la textura del pollo era fea hulosa hice el reclamo y me lo cambiaron pero el que llevaron era la misma textura e inmediatamente lo devolví al pedir la cuenta noté que me lo cobraron por instrucciones de la jefa no sé si será la dueña los muchachos de servicio quienes me conocen y siempre atienden amablemente no sabían donde meterse por la pena pero cumplieron órdenes última vez que pongo un pie en este lugar creo deberían tener más aprecio hacia los clientes y más aún cuando somos frecuentes no era la primera vez que pedía ese platillo tampoco los visitaba de manera esporádica pero bueno para la jefa valía más cobrar el platillo que valorar un cliente frecuente,1
36,"Francesa, Internacional",negative,fuimos con mucha ilusión debido a las buenas críticas pero nuestra experiencia fue traumática sobre todo por la pésima atención de la mesera y del mesero quienes nos atendieron con mala cara con desprecio incluso y se portaban como si estuvieran en la cocina de su casa con su familia y la comida bueno nada como un casado de una soda del mercado que seguro son mejores salimos corriendo con la duda de si habríamos recibido esa descortesía absoluta por ser dos mujeres de francés solo el nombre por si acaso,1
37,"Churrasquería, Parrillada, Argentina, Española, Sudamericana",negative,el personal es amable pero lentopuede ser problema de cocina los calidad de la carne es promedio y los precios altos definitivamente no lo recomiendo hay otros lugares mucho mejores,2
38,"Churrasquería, Parrillada, Argentina, Española, Sudamericana",negative,carne quemada dura nada de buena calidad a un precio muy alto se olvidaron de la mitad del pedido no lo recomiendo para nada no es carne nivel argentino solo nombre,2
39,"Café, Asiática, Vietnamita, Saludable, Fusión",positive,solo me tomé un café pero nos atendieron muy bien el café estaba muy rico y fue una experiencia linda recomendado para una cita romántica o una plática más larga,4
40,"Café, Asiática, Vietnamita, Saludable, Fusión",negative,ensalada base de mucha lechuga no fresca cortada muy gruesa no muy fácil de usar chop stick o tenedor con vegetales no muy frescos y los agregados de carne o vegetales con la base seleccione el pescado el cual estaba muy ácido por dentro lo cual o estaba malo o lo mejor lo preparan con anticipación y absorbió la salsa ácida muy rápido me pareció no fresco no recién hecho pero como dicen que es estilo vienamiz como precalentado con una salsa de coco que del todo no sentí el sabor a coco y la porción del pescado fue pequeño y agregué los vegetales lo único bueno son los hongos mi esposo ordenó el boom el cual estába con mucha lechuga el de él estuvo un poco mejor pero a la hora de pagar nos pareció ms caro de lo que está en la carta buen ambiente y muy buena atención pero la calidad y el precio muy altos por el plato servido,1
41,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",positive,un lugar muy cómodo al tratarse de un restaurante ubicado en una casa antigua en barrio amón buena decoración la alimentación es agradable en cuanto a multiplicidad de sabores y colores aunque las porciones son relativamente pequeñas los precios son acorde a la calidad del servicio y alimentación tiene el servicio de valet parking con un costo de 3 mil colones el menú ejecutivo tiene un precio de 9 mil colones que incluye entrada bebida plato fuerte y postre en una zona rodeada de hoteles y restaurantes,4
42,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",positive,he ido ya 3 veces en la misma semana y espero ir todo lo que pueda en mi estancia en costa rica es de estella michelin,5
43,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",positive,en primer lugar el servicio es de excelencia el chef sumamente cuidadoso y detallista en la elaboración de los alimentos no existen los “no” en este restaurante todas las necesidades que tuvimos para la elaboracion de los platillos fueron tomadas en cuenta incluso variar el platillo por necesidad de una de las personas debido a alergia a alimentos,5
44,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",negative,me pareció sumamente caro y la comida no estaba a la altura de los precios el lugar es más apariencia que otra cosa,2
45,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",positive,es un lugar muy agradable bien decorado en una casa antigua de san jose la comida fusion tica e internacional me gusto mucho muy bien servido,5
46,"Latina, Internacional, Contemporánea, Centroamericana, Costarricense",positive,el día de ayer mi novia y yo fuimos a su restaurante para celebrar nuestro sexto aniversario escogimos dos menús degustación y el maridaje de vinos la comida fue excelente tanto en presentación como en sabor gran innovación de la comida tradicional costarricense,5
47,"Internacional, Mediterránea, Europea",positive,sin lugar a dudas jurgens es para mí de los mejores restaurantes de costa rica el menú súper variado cada mes preparan un menú especial y en ocasiones prepara platillos especiales increíbles para festivales de hamburguesas que sin lugar a dudas destacan de cualquier otro excelente ambiente y atención,5
48,"Internacional, Mediterránea, Europea",positive,no puedo decir suficientes cosas buenas acerca de este restaurante la comida se sirve fresco así que está siempre a la temperatura deseada he comido allí varias veces durante mi estancia en costa rica y tiene benin maravilloso cada vez además de la buena comida los camareros hacen lo imposible para asegurar su satisfacción sin duda uno de los mejores restaurantes que he comido,5
49,"Internacional, Mediterránea, Europea",positive,un pequeño hotel boutique hotel restaurante contiguo excelente servicio y la comida es genial en un pujante barrio lo recomiendo para el almuerzo o la cena,4
50,"Internacional, Mediterránea, Europea",negative,no es el mejor lugar para comer sin duda la comida es internacional pero no es tan bueno como se piensa al entrar en el restaurante el lugar es agradable pero la comida no está a la altura de la expectativa inicial,1
51,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,el casado muy malo y caro para nada el arroz insípido los frijoles dulzones feo un maduro con miel lleno de clavos de olor por lo que en cada cucharada venía ese sabor fuerte de los clavos por lo que lo hizo una pésima experiencia y la carne en salsa eran como 3 pedacitos de carne lo demás eran pellejos y cargado de chile dulce y cebolla le faltaba sabor y el servicio demasiado lento y duradero,2
52,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,de visita en costa rica pura vida hoy en el city tour nos llevaron para almorzar rica comida excelente servicio de anthony gracias por la recomendación del mojito de cas 😋,5
53,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,comida muy buena típica tica el camarero anthony muy agradable servicio espléndido para una primera visita en san jose muy recomendable,5
54,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,muy buen local para probar buena comida costarricense pedimos un plato para dos personas donde vienen varias diferentes tipos de comidas típicas y estubo delicioso además la atención de nuestro mozo anthony estubo espectacular muy atento y simpático hasta nos regalaron una foto con nuestro plataso el local es bien bonito y limpio recomiendo este restaurante a cualquiera que sea nuevo en costa rica o no y quiera comer algo super rico típico y quiera una muy buena atención 1010,5
55,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,menú amplio comida típica y diferente agradable comida rica música en vivo buena infraestructura con adornos típicos,5
56,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,en realidad no lo considero comida costarricensecreo que le falta mucho además es caro lo que me gusta es el café chorreado en la mesa,2
57,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,es un sitio bastante típico y agradable con comida sabrosa y como nos pasó en todo costa rica una atención estupendaes quizás un poco para guiris turistas que caemos por allí por casualidad o recomendado pero con precios no demasiado por encima de la media que en general el caro,4
58,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,siempre lleno de gente por dedicada atenciòn sus abundantes y exquisitos platos y la rapidez conque los preparan la carta es extensa hay para todos los gustos,2
59,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,muy amables las personas dependientes escuche atender en ingles y español muy bien la comida tipica y tradicional de costa rica en un ambiente agradableen el centro de san jose muy accesibles super buena calidad y sabor,5
60,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,muy local el ambiente pedimos los platos tipicos que tienen lomito uno a la plancha y el otro con salsa de queso excelente sabor y super suaves los acompañamientoe el gallo pinto platano maduro ensalada y creo que se llama revoltilo muy buenos la atención es excelente y la coordialidad del personal,4
61,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,hoy visite el restaurante con una pareja de adultos mayores de uruguay por la cercanía al museo y por el tema de comida típica decidí esta opciónpésima elección los saloneros sumamente lentos y descortéses ninguno nos quería atender no sé porqué seguramente pensaron que todos eramos nacionales o que no íbamos a dejar propina porque curiosamente un grupo de usa que se sentó a nuestro lado fue atendido en forma inmediata la comida es regular aunque lo sentí demasiado caro para la calidad los refrescos naturales sin sabor muy desagradablebusquen otras opciones no vale la pena visitarlos,1
62,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,muy caro prefiero ir al mercado central tiene mejor comida y a un mejor precio este es el tipico restaurante que vende comida tipica a precio internacional,2
63,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,pesimo lugar no ponen atencion a tu solicitud te recomiendan un churrasco con la carne mas dura del mundo llena de pellejo y tratan de arreglarlo tomandote una foto no regresare,1
64,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,sin embargo en lo que respecta a la comida que es lo más importante no es de lo mejor la comida no es totalmente típica no es lo que encontrarías en el mercado o en una fuente de soda donde sí podrás conocer la verdadera comida típica del lugar por otra parte los platos eran exageradamente grandes y el precio era muy elevado en relación a la calidad de la comida,2
65,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,casi por 25 minutos rozando la media hora fue el tiempo de espera en una mesa junto a la ventana los meseros nos vieron e hicimos contacto visual en varias oportunidades y nada de todas maneras me levanté y de manera respetuosa pregunté si el local estaba abierto me dijeron que sí entonces consulté si se ordenaba en la mesa o en la caja claro después de tanto tiempo de espera usé un tono sarcástico pero sin faltar a la línea de respeto y cortesía que nos debemos los seres humanos durante el tiempo de atención el salonero estaba mirando el edificio del museo nacional y creo que tomó mal la orden sin embargo nos comimos lo que trajo porque el punto de cansancio y frustración estaba llegando a un nivel indeseado no soy de los que discute antes de comer eso afecta la digestión eso lo sí no me aguanté y le indiqué al señor que yo también trabajo en atención al cliente y siempre doy lo mejor de mi mismo acompañé mi comentario con una propina de 5000 cinco mil colones solo con el afán de que recuerde mis palabras,2
66,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,se come bien la olla de carne es muy rica la recomiendo,4
67,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,el lugar es muy pintoresco pensé que seria una buena opción para los extranjeros ya que los lleve a conocer san josé centro la atención es normal la comida nada fuera de serie claro cuando llega la cuenta casi me da algo una pena con los muchachos ya que la mayoría son estudiantes pagamos un poco mas del doble de lo que pagaría en cualquier otro restaurante no se si como todos iban con las diferentes camisetas sus países se abusaron muy mal muy mala impresión ellos dicen es cr es un psis muy caro pero este lugar es el mas caro del mundo que pena de verdad primera y ultima vez que iré o llevare a alguien que este de visita para nada recomendado,2
68,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,yo soy tica y creo que este rest únicamente existe para estafar ya que la comida es mala el servicio es pésimo con los meseros necios y exigiendo propinas extra mejor ir al rest chino que esta al otro lado de la plaza o el que esta unas cuadras antes de este para comida típica el mercado central o cualquier soda,1
69,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,he almorzadocenado varias veces en el lugar la comida es excelente muy recomendados los camarones al ajillo o a la manteca con verdurasel ambiente es agradable con musicos en vivo tocando marimba y los mozos muy serviciales y amableseso si es caro un plato simple con bebida puede rondar los 20 us los platos más elaborados con bebida y café hasta 40 us,4
70,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,muy caro para la comida tradicionalensalada sabrosa no en todos sólo 3 piezas de pollo en la parte superior pasta en aceite de oliva el personal no está sonriendo,2
71,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,servicio horrible trampa ourist el director era grosero y poco respetuoso trato preferencial en términos de precio los turistas nacionales ilegal contra discriminación de precios la defensoria da água de los consumidores en costa rica debería considerar cuidadosamente y auditoría este lugar mirar las diferencias de precio y las incoherencias que sólo para darle una idea nos cobraron 65 dólares por un pitcher de margaritas y aunque el tema está listado en el menú el precio no es culpa nuestra que no pide el precio en primer lugar además hay restaurantes que sirven comida auténtica mejor costa rica y ofreciendo un buen servicio ético por ejemplo la casona tipica o cafe en el amon hotel don carlosen resumen hazte un favor y evita este lugar,1
72,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,este restaurante fue recomendado a nosotros en nuestro primer día en san josé fuimos allí para el almuerzo compramos 4 copas de limonada y una comida familiar para compartir que incluía granos negros arroz tortillas cerdo frito carne y chix salteado con verduras y cebollas el total fue de 75 dólares y este aparentemente no incluyen propina la comida estaba bien pero no vale la pena su precio este restaurante fue rellenada continuamente sugiere a nosotros durante todo nuestro viaje de una semana así que no estoy seguro de qué tipo de arreglos que tienen con las empresas de fuera mi presupuesto no puede sostener 75 almuerzos y cenas todos los días durante una semana servicio de atención al cliente era bueno por favor no uses para comida típica costarricense sugiero la casona tipica hemos comido allí dos veces y pasó de 2527 para nuestra familia de cuatro también tienen un par de camareros que habla inglés y un fantástico servicio al cliente no aconsejaría ir caminando a cualquiera puede tomar un taxi allí muy a precios razonables,2
73,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,nuestro hotel recomendado este restaurante y era muy bueno yo tenía pollo y mi marido tenía carne y ambos eran excelentes no era barato pero nos dieron un montón de comida para nuestro dinero rápido y agradable servicio fantástica ubicación justo al otro lado de la calle del museo nacional,5
74,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,fuimos a este restaurante porque estaba al otro lado de la calle del museo nacional y cerca del museo de jade un trabajador en el museo del jade recomendado porque creo que creía que los turistas quisiéramosel ambiente es interesante y mucho podría hacerse con el lugar si la comida fuera mejor excepto los calcetines cocidos plátanos que estaban biennos quedamos con hambre y sirvió a nuestro propósito pero eso es todo,2
75,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,la sugerencia para visitar este lugar pintoresco para costarricense auténtica comida y el ambiente estaba hecha por nuestros amigos de costa rica junto con el personal de nuestro hotel en el gran hotel costa rica estamos encantados de tener una auténtica experiencia cuando visitamos nuestra tierra la decoración el ambiente el servicio y la comida era genial tarifas muy razonables lo único que podían hacer sin que su experiencia sería abandonar la tvsesta es una visita obligada si estás en la zona de san josé de costa rica,5
76,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,estaba tan enfermo de plato de pollo cuando hablé con los demás sobre este lugar tenían experiencias similares,1
77,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,primera vez en san josé un par de personas nos recomendaron este lugar ¡qué gran error no revisar el tripadvisor críticas yo nunca más volveremos a cometer el mismo error mi hijo de 14 años que volvería a comer nada dijo que su almuerzo escolar sabe mejor que este lugar decía sobre precios razonables y la comida el servicio era muy bueno esperemos que se mejore desde aquí tiempo para leer los comentarios tripadvisor,2
78,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,mi novio y yo comimos aquí en nuestro reciente viaje a costa rica era una comida con su familia 10 años antes así que caminamos por la ciudad en busca de nuestra tierra así que me alegro de que lo encontramos nos pidió 2 hermosa pescado entero con una deliciosa menús piel un gran servicio y una linda decoración,4
79,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,1 de error buscar un restaurant con el estómago vacíoerror 2 no haber leído los comentarios restaurante típico con comida típica de 4 a 5 veces el precio de la misma comida en otros restaurantes pollo papas rosti pollos gusto incluso mejor en la tercera parte del precio,2
80,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,no 247 como se anunció mi marido y yo habíamos ido a una película tarde y queríamos algo diferente después decidido a conseguir algo de comida típica nos recordaba haber visto que este restaurante ofrece 247 típico de comida cuando llegamos a 1145 h vimos las puertas cerradas pero la gente dentro entramos y nos envió lejos bastante grosera nos dijeron que durante los últimos meses han estado cierre a las 1200 pm nos dejaron insatisfechas no fue hasta la medianoche y clientes fueron rechazadasyo no recomendaría este lugar,1
81,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,pedimos una sopa como no tenían nada más disponible no estaba de acuerdo conmigo o tengo que han venido disminuyendo con la gripe porque me puse enfermo después,2
82,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,una terrible trampa para turistas te pierdes nada y caminar por la carretera a la excelente café en el teatro nacional que es excelente,1
83,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,nuestro conductor del hotel nos recomendó el restaurante cuando él nos dejó en san josé teníamos nuestras sospechas de que era una trampa para turistas pero no teníamos ni idea de donde estábamos estábamos muertos para nuestra primera comida en costa rica está situado en una esquina y ambas entradas están abiertas a la calle así que había una corriente que no podíamos escapar de no importa cuántas veces nos cambiamos nuestros asientospedí el bistec lomado y mis amigos tenían los platos de camarones las porciones de comida eran generosos y sabor bastante bueno aparte de la corriente estábamos disfrutando nosotros mismos luego la factura era y nos quedamos boquiabiertos debemos pasar unos buenos 2030 minutos analizar y tratando de averiguar cómo nuestro almuerzo informal se convirtió en un espectáculo gastronómico todavía confunden pagamos la cuenta y a la izquierda para ir de compras en las tiendas de baratijas al otro lado de la calle en general me gustaría simplemente evitar san jose metro,2
